Year,NOC,Total,Gold,Historical_Medals,Total_Events,Total_Participants,Gender_Ratio,Is_Host
2016,BRU,0.0,0.0,0.0,3,3,0.6666666666666666,0
2020,BRU,0.0,0.0,0.0,2,2,1.0,0
2024,BRU,0.0,0.0,0.0,3,3,0.6666666666666666,0
1924,BUL,0.0,0.0,0.0,12,24,1.0,0
1928,BUL,0.0,0.0,0.0,5,5,1.0,0
1932,BUL,0.0,0.0,0.0,1,2,1.0,0
1936,BUL,0.0,0.0,0.0,22,26,1.0,0
1952,BUL,1.0,0.0,0.0,34,63,0.8571428571428571,0
1956,BUL,5.0,1.0,1.0,31,46,0.9347826086956522,0
1960,BUL,7.0,1.0,6.0,66,97,0.9072164948453608,0
1964,BUL,10.0,3.0,13.0,56,63,0.8888888888888888,0
1968,BUL,9.0,2.0,23.0,69,112,0.9107142857142857,0
1972,BUL,21.0,6.0,32.0,92,129,0.813953488372093,0
1976,BUL,22.0,6.0,53.0,108,155,0.6645161290322581,0
1980,BUL,41.0,8.0,75.0,151,270,0.674074074074074,0
1988,BUL,35.0,10.0,116.0,120,172,0.6046511627906976,0
1992,BUL,16.0,3.0,151.0,116,136,0.625,0
1996,BUL,15.0,3.0,167.0,89,108,0.6666666666666666,0
2000,BUL,13.0,5.0,182.0,85,91,0.5714285714285714,0
2004,BUL,12.0,2.0,195.0,94,95,0.5157894736842106,0
2008,BUL,5.0,1.0,207.0,60,70,0.6142857142857143,0
2012,BUL,3.0,0.0,212.0,56,63,0.5873015873015873,0
2016,BUL,3.0,0.0,215.0,51,50,0.56,0
2020,BUL,6.0,3.0,218.0,46,42,0.3333333333333333,0
2024,BUL,7.0,3.0,224.0,54,46,0.45652173913043476,0
1972,BUR,0.0,0.0,0.0,1,1,1.0,0
1988,BUR,0.0,0.0,0.0,7,6,0.8333333333333334,0
1992,BUR,0.0,0.0,0.0,4,4,1.0,0
1996,BUR,0.0,0.0,0.0,5,5,0.6,0
2000,BUR,0.0,0.0,0.0,4,4,0.75,0
2004,BUR,0.0,0.0,0.0,5,5,0.6,0
2008,BUR,0.0,0.0,0.0,6,6,0.5,0
2012,BUR,0.0,0.0,0.0,5,5,0.4,0
2016,BUR,0.0,0.0,0.0,5,5,0.6,0
2020,BUR,1.0,0.0,0.0,8,7,0.7142857142857143,0
2024,BUR,0.0,0.0,1.0,8,8,0.625,0
1968,CAF,0.0,0.0,0.0,1,1,1.0,0
1984,CAF,0.0,0.0,0.0,3,3,1.0,0
1988,CAF,0.0,0.0,0.0,4,15,1.0,0
1992,CAF,0.0,0.0,0.0,16,15,0.8666666666666667,0
1996,CAF,0.0,0.0,0.0,5,5,0.6,0
2000,CAF,0.0,0.0,0.0,3,3,0.3333333333333333,0
2004,CAF,0.0,0.0,0.0,4,4,0.5,0
2008,CAF,0.0,0.0,0.0,3,3,0.6666666666666666,0
2012,CAF,0.0,0.0,0.0,6,6,0.5,0
2016,CAF,0.0,0.0,0.0,6,6,0.5,0
2020,CAF,0.0,0.0,0.0,2,2,0.5,0
2024,CAF,0.0,0.0,0.0,4,4,0.5,0
1956,CAM,0.0,0.0,0.0,1,2,1.0,0
1964,CAM,0.0,0.0,0.0,10,13,1.0,0
1972,CAM,0.0,0.0,0.0,14,9,0.8888888888888888,0
1996,CAM,0.0,0.0,0.0,5,5,0.6,0
2000,CAM,0.0,0.0,0.0,4,4,0.5,0
2004,CAM,0.0,0.0,0.0,4,4,0.5,0
2008,CAM,0.0,0.0,0.0,4,4,0.5,0
2012,CAM,0.0,0.0,0.0,6,6,0.5,0
2016,CAM,0.0,0.0,0.0,6,6,0.3333333333333333,0
2020,CAM,0.0,0.0,0.0,3,3,0.6666666666666666,0
2024,CAM,0.0,0.0,0.0,3,3,0.6666666666666666,0
1900,CAN,2.0,1.0,0.0,5,4,1.0,0
1904,CAN,6.0,4.0,2.0,15,55,1.0,0
1906,CAN,0.0,0.0,8.0,4,3,1.0,0
1908,CAN,16.0,3.0,8.0,42,87,1.0,0
1912,CAN,8.0,3.0,24.0,30,37,1.0,0
1920,CAN,9.0,3.0,32.0,39,52,1.0,0
1924,CAN,4.0,0.0,41.0,39,65,1.0,0
1928,CAN,15.0,4.0,45.0,49,69,0.8985507246376812,0
1932,CAN,16.0,2.0,60.0,69,102,0.8333333333333334,0
1936,CAN,9.0,1.0,76.0,69,97,0.8144329896907216,0
1948,CAN,3.0,0.0,85.0,83,127,0.8346456692913385,0
1952,CAN,3.0,1.0,88.0,74,107,0.9065420560747663,0
1956,CAN,6.0,2.0,91.0,84,96,0.84375,0
1960,CAN,1.0,0.0,97.0,77,85,0.8705882352941177,0
1964,CAN,4.0,1.0,98.0,92,115,0.8260869565217391,0
1968,CAN,5.0,1.0,102.0,124,139,0.7985611510791367,0
1972,CAN,5.0,0.0,107.0,136,207,0.7584541062801933,0
1976,CAN,11.0,0.0,112.0,173,385,0.6779220779220779,1
1984,CAN,44.0,10.0,123.0,193,408,0.6299019607843137,0
1988,CAN,10.0,3.0,167.0,193,328,0.6798780487804879,0
1992,CAN,18.0,7.0,177.0,199,295,0.6067796610169491,0
1996,CAN,22.0,3.0,195.0,189,303,0.5016501650165016,0
2000,CAN,14.0,3.0,217.0,175,294,0.5102040816326531,0
2004,CAN,12.0,3.0,231.0,151,262,0.4961832061068702,0
2008,CAN,20.0,3.0,243.0,185,332,0.5602409638554217,0
2012,CAN,18.0,2.0,263.0,179,272,0.4338235294117647,0
2016,CAN,22.0,4.0,281.0,175,309,0.4077669902912621,0
2020,CAN,24.0,7.0,303.0,198,386,0.3911917098445596,0
2024,CAN,27.0,9.0,327.0,193,332,0.3885542168674699,0
1976,CAY,0.0,0.0,0.0,1,2,1.0,0
1984,CAY,0.0,0.0,0.0,7,8,0.875,0
1988,CAY,0.0,0.0,0.0,7,8,0.875,0
1992,CAY,0.0,0.0,0.0,7,10,1.0,0
1996,CAY,0.0,0.0,0.0,7,9,0.8888888888888888,0
2000,CAY,0.0,0.0,0.0,4,3,0.3333333333333333,0
2004,CAY,0.0,0.0,0.0,8,5,0.6,0
2008,CAY,0.0,0.0,0.0,6,4,0.75,0
2012,CAY,0.0,0.0,0.0,5,4,1.0,0
2016,CAY,0.0,0.0,0.0,5,5,0.6,0
2020,CAY,0.0,0.0,0.0,9,5,0.4,0
2024,CAY,0.0,0.0,0.0,5,4,0.5,0
1964,CGO,0.0,0.0,0.0,2,2,1.0,0
1972,CGO,0.0,0.0,0.0,5,6,1.0,0
1980,CGO,0.0,0.0,0.0,8,23,0.391304347826087,0
1984,CGO,0.0,0.0,0.0,10,9,0.8888888888888888,0
1988,CGO,0.0,0.0,0.0,7,7,0.7142857142857143,0
1992,CGO,0.0,0.0,0.0,7,7,0.8571428571428571,0
1996,CGO,0.0,0.0,0.0,5,5,0.6,0
2000,CGO,0.0,0.0,0.0,5,5,0.6,0
2004,CGO,0.0,0.0,0.0,5,5,0.4,0
2008,CGO,0.0,0.0,0.0,5,5,0.6,0
2012,CGO,0.0,0.0,0.0,6,7,0.5714285714285714,0
2016,CGO,0.0,0.0,0.0,9,10,0.7,0
2020,CGO,0.0,0.0,0.0,3,3,0.3333333333333333,0
2024,CGO,0.0,0.0,0.0,4,4,0.5,0
1964,CHA,0.0,0.0,0.0,2,2,1.0,0
1968,CHA,0.0,0.0,0.0,3,3,1.0,0
1972,CHA,0.0,0.0,0.0,4,4,1.0,0
1984,CHA,0.0,0.0,0.0,3,3,1.0,0
1988,CHA,0.0,0.0,0.0,6,6,1.0,0
1992,CHA,0.0,0.0,0.0,7,6,0.8333333333333334,0
1996,CHA,0.0,0.0,0.0,4,4,0.75,0
2000,CHA,0.0,0.0,0.0,3,2,0.5,0
2004,CHA,0.0,0.0,0.0,1,1,0.0,0
2008,CHA,0.0,0.0,0.0,2,2,0.5,0
2012,CHA,0.0,0.0,0.0,2,2,0.0,0
2016,CHA,0.0,0.0,0.0,2,2,0.5,0
2020,CHA,0.0,0.0,0.0,3,3,0.3333333333333333,0
2024,CHA,0.0,0.0,0.0,3,3,0.6666666666666666,0
1912,CHI,0.0,0.0,0.0,16,14,1.0,0
1920,CHI,0.0,0.0,0.0,2,2,1.0,0
1924,CHI,0.0,0.0,0.0,12,13,1.0,0
1928,CHI,1.0,0.0,0.0,22,38,1.0,0
1936,CHI,0.0,0.0,1.0,27,40,0.975,0
1948,CHI,0.0,0.0,1.0,31,54,0.9259259259259259,0
1952,CHI,2.0,0.0,1.0,33,59,0.9322033898305084,0
1956,CHI,4.0,0.0,3.0,22,33,0.9393939393939394,0
1960,CHI,0.0,0.0,7.0,8,9,0.8888888888888888,0
1964,CHI,0.0,0.0,7.0,13,14,1.0,0
1968,CHI,0.0,0.0,7.0,19,21,0.9047619047619048,0
1972,CHI,0.0,0.0,7.0,9,11,0.8181818181818182,0
1976,CHI,0.0,0.0,7.0,8,7,1.0,0
1984,CHI,0.0,0.0,7.0,25,52,0.9615384615384616,0
1988,CHI,1.0,0.0,7.0,14,17,0.9411764705882353,0
1992,CHI,0.0,0.0,8.0,12,12,0.75,0
1996,CHI,0.0,0.0,8.0,18,21,0.7619047619047619,0
2000,CHI,1.0,0.0,8.0,28,50,0.86,0
2004,CHI,3.0,2.0,9.0,25,22,0.7272727272727273,0
2008,CHI,1.0,0.0,12.0,26,26,0.7692307692307693,0
2012,CHI,0.0,0.0,13.0,36,35,0.6,0
2016,CHI,0.0,0.0,13.0,36,42,0.5952380952380952,0
2020,CHI,0.0,0.0,13.0,37,57,0.3508771929824561,0
2024,CHI,2.0,1.0,13.0,38,48,0.625,0
1932,CHN,0.0,0.0,0.0,2,1,1.0,0
1936,CHN,0.0,0.0,0.0,27,54,0.9629629629629629,0
1948,CHN,0.0,0.0,0.0,12,31,0.967741935483871,0
1952,CHN,0.0,0.0,0.0,1,1,1.0,0
1984,CHN,32.0,15.0,0.0,105,215,0.6139534883720931,0
1988,CHN,28.0,5.0,32.0,150,271,0.5424354243542435,0
1992,CHN,54.0,16.0,60.0,144,243,0.48148148148148145,0
1996,CHN,50.0,16.0,114.0,155,289,0.3771626297577855,0
2000,CHN,58.0,28.0,164.0,163,266,0.33458646616541354,0
2004,CHN,63.0,32.0,222.0,204,372,0.3575268817204301,0
2008,CHN,100.0,48.0,285.0,257,583,0.5197255574614065,1
2012,CHN,92.0,39.0,385.0,206,365,0.4328767123287671,0
2016,CHN,70.0,26.0,477.0,209,390,0.38461538461538464,0
2020,CHN,89.0,38.0,547.0,229,417,0.30935251798561153,0
2024,CHN,91.0,40.0,636.0,237,396,0.3383838383838384,0
1964,CIV,0.0,0.0,0.0,10,9,1.0,0
1968,CIV,0.0,0.0,0.0,7,10,1.0,0
1972,CIV,0.0,0.0,0.0,7,11,1.0,0
1976,CIV,0.0,0.0,0.0,8,8,0.875,0
1984,CIV,1.0,0.0,0.0,14,15,0.9333333333333333,0
1988,CIV,0.0,0.0,1.0,10,28,0.39285714285714285,0
1992,CIV,0.0,0.0,1.0,11,13,0.6153846153846154,0
1996,CIV,0.0,0.0,1.0,8,11,0.9090909090909091,0
2000,CIV,0.0,0.0,1.0,12,14,0.5,0
2004,CIV,0.0,0.0,1.0,5,5,0.4,0
2008,CIV,0.0,0.0,1.0,7,21,0.9047619047619048,0
2012,CIV,0.0,0.0,1.0,10,9,0.4444444444444444,0
2016,CIV,2.0,1.0,1.0,12,12,0.4166666666666667,0
2020,CIV,1.0,0.0,3.0,11,31,0.8064516129032258,0
2024,CIV,1.0,0.0,4.0,11,13,0.3076923076923077,0
1964,CMR,0.0,0.0,0.0,2,1,1.0,0
1968,CMR,1.0,0.0,0.0,5,5,1.0,0
1972,CMR,0.0,0.0,1.0,12,11,1.0,0
1976,CMR,0.0,0.0,1.0,1,4,1.0,0
1980,CMR,0.0,0.0,1.0,23,25,0.88,0
1984,CMR,1.0,0.0,1.0,32,46,0.9130434782608695,0
1988,CMR,0.0,0.0,2.0,21,15,0.8666666666666667,0
1992,CMR,0.0,0.0,2.0,9,8,0.375,0
1996,CMR,0.0,0.0,2.0,13,15,0.7333333333333333,0
2000,CMR,1.0,1.0,2.0,14,34,0.7352941176470589,0
2004,CMR,1.0,1.0,3.0,15,17,0.5882352941176471,0
2008,CMR,1.0,1.0,4.0,16,32,0.78125,0
2012,CMR,1.0,0.0,5.0,16,32,0.3125,0
2016,CMR,0.0,0.0,6.0,13,22,0.22727272727272727,0
2020,CMR,0.0,0.0,6.0,12,12,0.4166666666666667,0
2024,CMR,0.0,0.0,6.0,6,6,0.3333333333333333,0
1968,COD,0.0,0.0,0.0,2,5,1.0,0
1984,COD,0.0,0.0,0.0,9,8,0.875,0
1988,COD,0.0,0.0,0.0,15,15,0.8666666666666667,0
1992,COD,0.0,0.0,0.0,14,17,0.8823529411764706,0
1996,COD,0.0,0.0,0.0,2,14,0.14285714285714285,0
2000,COD,0.0,0.0,0.0,3,2,0.5,0
2004,COD,0.0,0.0,0.0,4,4,0.75,0
2008,COD,0.0,0.0,0.0,5,5,0.8,0
2012,COD,0.0,0.0,0.0,4,4,0.75,0
2016,COD,0.0,0.0,0.0,4,4,0.5,0
2020,COD,0.0,0.0,0.0,7,7,0.42857142857142855,0
2024,COD,0.0,0.0,0.0,6,6,0.5,0
1988,COK,0.0,0.0,0.0,8,7,0.8571428571428571,0
1992,COK,0.0,0.0,0.0,2,2,1.0,0
1996,COK,0.0,0.0,0.0,3,3,0.6666666666666666,0
2000,COK,0.0,0.0,0.0,2,2,0.5,0
2004,COK,0.0,0.0,0.0,3,3,0.6666666666666666,0
2008,COK,0.0,0.0,0.0,4,4,0.75,0
2012,COK,0.0,0.0,0.0,9,8,0.375,0
2016,COK,0.0,0.0,0.0,9,9,0.4444444444444444,0
2020,COK,0.0,0.0,0.0,9,6,0.5,0
2024,COK,0.0,0.0,0.0,2,2,0.5,0
1900,COL,0.0,0.0,0.0,1,1,1.0,0
1932,COL,0.0,0.0,0.0,2,2,1.0,0
1936,COL,0.0,0.0,0.0,5,5,1.0,0
1948,COL,0.0,0.0,0.0,6,6,1.0,0
1956,COL,0.0,0.0,0.0,23,26,1.0,0
1960,COL,0.0,0.0,0.0,13,16,1.0,0
1964,COL,0.0,0.0,0.0,19,20,1.0,0
1968,COL,0.0,0.0,0.0,33,43,0.8837209302325582,0
1972,COL,3.0,0.0,0.0,39,59,0.9322033898305084,0
1976,COL,0.0,0.0,3.0,30,35,0.9142857142857143,0
1980,COL,0.0,0.0,3.0,7,23,1.0,0
1984,COL,1.0,0.0,3.0,34,39,0.9230769230769231,0
1988,COL,1.0,0.0,4.0,34,40,0.85,0
1992,COL,1.0,0.0,5.0,31,49,0.9387755102040817,0
1996,COL,0.0,0.0,6.0,44,48,0.8125,0
2000,COL,1.0,1.0,6.0,45,44,0.5681818181818182,0
2004,COL,2.0,0.0,7.0,59,53,0.6037735849056604,0
2008,COL,3.0,0.0,9.0,74,67,0.6417910447761194,0
2012,COL,9.0,1.0,12.0,81,101,0.44554455445544555,0
2016,COL,8.0,3.0,21.0,85,143,0.5104895104895105,0
2020,COL,5.0,0.0,29.0,57,69,0.6811594202898551,0
2024,COL,4.0,0.0,34.0,66,88,0.42045454545454547,0
1996,COM,0.0,0.0,0.0,4,4,0.75,0
2000,COM,0.0,0.0,0.0,2,2,0.5,0
2004,COM,0.0,0.0,0.0,3,3,0.6666666666666666,0
2008,COM,0.0,0.0,0.0,3,3,0.6666666666666666,0
2012,COM,0.0,0.0,0.0,3,3,0.3333333333333333,0
2016,COM,0.0,0.0,0.0,4,4,0.5,0
2020,COM,0.0,0.0,0.0,3,3,0.6666666666666666,0
2024,COM,0.0,0.0,0.0,5,4,0.75,0
1996,CPV,0.0,0.0,0.0,3,3,0.6666666666666666,0
2000,CPV,0.0,0.0,0.0,2,2,0.5,0
2004,CPV,0.0,0.0,0.0,3,3,0.6666666666666666,0
2008,CPV,0.0,0.0,0.0,2,2,0.5,0
2012,CPV,0.0,0.0,0.0,3,3,0.3333333333333333,0
2016,CPV,0.0,0.0,0.0,5,5,0.4,0
2020,CPV,0.0,0.0,0.0,6,6,0.5,0
2024,CPV,1.0,0.0,0.0,7,7,0.5714285714285714,0
1936,CRC,0.0,0.0,0.0,1,1,1.0,0
1964,CRC,0.0,0.0,0.0,1,2,1.0,0
1968,CRC,0.0,0.0,0.0,18,18,0.9444444444444444,0
1972,CRC,0.0,0.0,0.0,4,3,1.0,0
1976,CRC,0.0,0.0,0.0,9,5,0.8,0
1980,CRC,0.0,0.0,0.0,18,29,0.9655172413793104,0
1984,CRC,0.0,0.0,0.0,16,28,0.9642857142857143,0
1988,CRC,1.0,0.0,0.0,18,16,0.5625,0
1992,CRC,0.0,0.0,1.0,18,16,0.6875,0
1996,CRC,1.0,1.0,1.0,13,11,0.5454545454545454,0
2000,CRC,2.0,0.0,2.0,9,7,0.7142857142857143,0
2004,CRC,0.0,0.0,4.0,8,20,0.85,0
2008,CRC,0.0,0.0,4.0,8,8,0.75,0
2012,CRC,0.0,0.0,4.0,11,11,0.7272727272727273,0
2016,CRC,0.0,0.0,4.0,11,11,0.5454545454545454,0
2020,CRC,0.0,0.0,4.0,17,14,0.42857142857142855,0
2024,CRC,0.0,0.0,4.0,6,6,0.5,0
1992,CRO,3.0,0.0,0.0,23,39,0.9230769230769231,0
1996,CRO,2.0,1.0,3.0,57,84,0.8928571428571429,0
2000,CRO,2.0,1.0,5.0,53,88,0.7159090909090909,0
2004,CRO,5.0,1.0,7.0,57,81,0.8148148148148148,0
2008,CRO,5.0,0.0,12.0,66,99,0.8080808080808081,0
2012,CRO,6.0,3.0,17.0,53,107,0.5981308411214953,0
2016,CRO,10.0,5.0,23.0,47,85,0.7764705882352941,0
2020,CRO,8.0,3.0,33.0,48,60,0.6666666666666666,0
2024,CRO,7.0,2.0,41.0,46,73,0.7945205479452054,0
1900,CUB,2.0,1.0,0.0,2,1,1.0,0
1904,CUB,3.0,3.0,2.0,5,3,1.0,0
1924,CUB,0.0,0.0,5.0,3,9,1.0,0
1928,CUB,0.0,0.0,5.0,1,1,1.0,0
1932,CUB,0.0,0.0,5.0,1,3,1.0,0
1948,CUB,1.0,0.0,5.0,31,53,1.0,0
1952,CUB,0.0,0.0,6.0,23,29,1.0,0
1956,CUB,0.0,0.0,6.0,16,16,0.9375,0
1960,CUB,0.0,0.0,6.0,15,12,0.75,0
1964,CUB,1.0,0.0,6.0,24,27,0.9259259259259259,0
1968,CUB,4.0,0.0,7.0,78,115,0.8782608695652174,0
1972,CUB,8.0,3.0,11.0,69,137,0.7956204379562044,0
1976,CUB,13.0,6.0,19.0,76,156,0.8461538461538461,0
1980,CUB,20.0,8.0,32.0,92,203,0.8374384236453202,0
1992,CUB,31.0,14.0,52.0,90,176,0.7159090909090909,0
1996,CUB,25.0,9.0,83.0,84,164,0.676829268292683,0
2000,CUB,29.0,11.0,108.0,135,229,0.6419213973799127,0
2004,CUB,27.0,9.0,137.0,108,151,0.6423841059602649,0
2008,CUB,30.0,3.0,164.0,102,158,0.6455696202531646,0
2012,CUB,15.0,5.0,194.0,86,109,0.5963302752293578,0
2016,CUB,11.0,5.0,209.0,99,117,0.7094017094017094,0
2020,CUB,15.0,7.0,220.0,64,69,0.5217391304347826,0
2024,CUB,9.0,2.0,235.0,53,61,0.5573770491803278,0
1980,CYP,0.0,0.0,0.0,13,14,0.8571428571428571,0
1984,CYP,0.0,0.0,0.0,9,10,1.0,0
1988,CYP,0.0,0.0,0.0,10,9,0.7777777777777778,0
1992,CYP,0.0,0.0,0.0,17,17,0.7647058823529411,0
1996,CYP,0.0,0.0,0.0,16,17,0.8823529411764706,0
2000,CYP,0.0,0.0,0.0,20,22,0.7727272727272727,0
2004,CYP,0.0,0.0,0.0,20,20,0.65,0
2008,CYP,0.0,0.0,0.0,17,17,0.4117647058823529,0
2012,CYP,1.0,0.0,0.0,12,13,0.6923076923076923,0
2016,CYP,0.0,0.0,1.0,19,15,0.6,0
2020,CYP,0.0,0.0,1.0,22,15,0.6,0
2024,CYP,1.0,0.0,1.0,23,15,0.4,0
1996,CZE,11.0,4.0,0.0,110,115,0.6608695652173913,0
2000,CZE,8.0,2.0,11.0,96,119,0.7226890756302521,0
2004,CZE,9.0,1.0,19.0,104,142,0.5633802816901409,0
2008,CZE,7.0,3.0,28.0,105,134,0.5597014925373134,0
2012,CZE,11.0,4.0,35.0,99,133,0.5112781954887218,0
2016,CZE,10.0,1.0,46.0,92,104,0.5961538461538461,0
2020,CZE,11.0,4.0,56.0,93,115,0.6434782608695652,0
2024,CZE,5.0,3.0,67.0,102,111,0.5585585585585585,0
1896,DEN,6.0,1.0,0.0,12,3,1.0,0
1900,DEN,6.0,1.0,6.0,14,13,1.0,0
1906,DEN,0.0,0.0,12.0,24,49,1.0,0
1908,DEN,5.0,0.0,12.0,27,78,1.0,0
1912,DEN,12.0,1.0,17.0,46,147,0.9931972789115646,0
1920,DEN,13.0,3.0,29.0,66,151,0.9735099337748344,0
1924,DEN,9.0,2.0,42.0,60,89,0.8651685393258427,0
1928,DEN,6.0,3.0,51.0,55,91,0.9010989010989011,0
1932,DEN,8.0,0.0,57.0,34,43,0.813953488372093,0
1936,DEN,5.0,0.0,65.0,71,121,0.8677685950413223,0
1948,DEN,20.0,5.0,70.0,83,160,0.8875,0
1952,DEN,6.0,2.0,90.0,73,128,0.890625,0
1956,DEN,4.0,1.0,96.0,29,37,0.8378378378378378,0
1960,DEN,6.0,2.0,100.0,46,99,0.8787878787878788,0
1964,DEN,6.0,2.0,106.0,40,60,0.8833333333333333,0
1968,DEN,8.0,1.0,112.0,53,62,0.9354838709677419,0
1972,DEN,1.0,1.0,120.0,73,126,0.9047619047619048,0
1976,DEN,3.0,1.0,121.0,40,66,0.8484848484848485,0
1980,DEN,5.0,2.0,124.0,30,58,0.9482758620689655,0
1984,DEN,6.0,0.0,129.0,33,60,0.8166666666666667,0
1988,DEN,4.0,2.0,135.0,73,78,0.7307692307692307,0
1992,DEN,6.0,1.0,139.0,67,109,0.6972477064220184,0
1996,DEN,6.0,4.0,145.0,66,119,0.453781512605042,0
2000,DEN,6.0,2.0,151.0,55,97,0.5463917525773195,0
2004,DEN,8.0,2.0,157.0,59,92,0.5217391304347826,0
2008,DEN,7.0,2.0,165.0,62,84,0.7619047619047619,0
2012,DEN,9.0,2.0,172.0,69,113,0.5752212389380531,0
2016,DEN,15.0,2.0,181.0,67,117,0.6495726495726496,0
2020,DEN,11.0,3.0,196.0,64,108,0.5277777777777778,0
2024,DEN,9.0,2.0,207.0,67,128,0.4296875,0
1984,DJI,0.0,0.0,0.0,1,3,1.0,0
1988,DJI,1.0,0.0,0.0,5,6,1.0,0
1992,DJI,0.0,0.0,1.0,7,8,1.0,0
1996,DJI,0.0,0.0,1.0,4,5,1.0,0
2000,DJI,0.0,0.0,1.0,2,2,0.5,0
2008,DJI,0.0,0.0,1.0,2,2,0.5,0
2012,DJI,0.0,0.0,1.0,4,4,0.5,0
2016,DJI,0.0,0.0,1.0,7,7,0.8571428571428571,0
2020,DJI,0.0,0.0,1.0,5,4,0.75,0
2024,DJI,0.0,0.0,1.0,6,7,0.7142857142857143,0
1996,DMA,0.0,0.0,0.0,6,6,0.6666666666666666,0
2000,DMA,0.0,0.0,0.0,4,4,0.5,0
2004,DMA,0.0,0.0,0.0,2,2,0.5,0
2008,DMA,0.0,0.0,0.0,2,2,1.0,0
2012,DMA,0.0,0.0,0.0,2,2,0.5,0
2016,DMA,0.0,0.0,0.0,2,2,0.5,0
2020,DMA,0.0,0.0,0.0,2,2,0.5,0
2024,DMA,1.0,1.0,0.0,4,4,0.5,0
1964,DOM,0.0,0.0,0.0,1,1,1.0,0
1968,DOM,0.0,0.0,0.0,16,18,1.0,0
1972,DOM,0.0,0.0,0.0,4,5,1.0,0
1976,DOM,0.0,0.0,0.0,10,10,0.9,0
1980,DOM,0.0,0.0,0.0,7,6,0.8333333333333334,0
1984,DOM,1.0,0.0,0.0,20,19,0.7894736842105263,0
1988,DOM,0.0,0.0,1.0,15,16,0.9375,0
1992,DOM,0.0,0.0,1.0,13,32,0.9375,0
1996,DOM,0.0,0.0,1.0,16,16,0.75,0
2000,DOM,0.0,0.0,1.0,13,12,0.8333333333333334,0
2004,DOM,1.0,1.0,1.0,22,33,0.5151515151515151,0
2008,DOM,2.0,1.0,2.0,21,24,0.75,0
2012,DOM,2.0,1.0,4.0,21,33,0.3939393939393939,0
2016,DOM,1.0,0.0,6.0,22,26,0.6923076923076923,0
2020,DOM,5.0,0.0,7.0,31,66,0.6363636363636364,0
2024,DOM,3.0,1.0,12.0,28,59,0.576271186440678,0
1924,ECU,0.0,0.0,0.0,4,3,1.0,0
1968,ECU,0.0,0.0,0.0,21,15,0.9333333333333333,0
1972,ECU,0.0,0.0,0.0,4,2,1.0,0
1976,ECU,0.0,0.0,0.0,8,5,1.0,0
1980,ECU,0.0,0.0,0.0,13,12,0.9166666666666666,0
1984,ECU,0.0,0.0,0.0,14,11,0.9090909090909091,0
1988,ECU,0.0,0.0,0.0,15,13,0.7692307692307693,0
1992,ECU,0.0,0.0,0.0,15,13,0.46153846153846156,0
1996,ECU,1.0,1.0,0.0,18,19,0.8947368421052632,0
2000,ECU,0.0,0.0,1.0,11,10,0.7,0
2004,ECU,0.0,0.0,1.0,15,16,0.6875,0
2008,ECU,1.0,0.0,1.0,23,25,0.68,0
2012,ECU,0.0,0.0,2.0,34,36,0.6388888888888888,0
2016,ECU,0.0,0.0,2.0,29,37,0.5945945945945946,0
2020,ECU,3.0,2.0,2.0,38,47,0.3617021276595745,0
2024,ECU,5.0,1.0,5.0,33,40,0.4,0
1906,EGY,0.0,0.0,0.0,5,2,1.0,0
1920,EGY,0.0,0.0,0.0,11,18,1.0,0
1924,EGY,0.0,0.0,0.0,12,24,1.0,0
1928,EGY,4.0,2.0,0.0,14,32,1.0,0
1936,EGY,5.0,2.0,4.0,30,53,1.0,0
1948,EGY,5.0,2.0,9.0,53,85,1.0,0
1952,EGY,1.0,0.0,14.0,65,106,1.0,0
1956,EGY,0.0,0.0,15.0,2,3,1.0,0
1960,EGY,2.0,0.0,15.0,34,74,1.0,0
1964,EGY,0.0,0.0,17.0,35,72,1.0,0
1968,EGY,0.0,0.0,17.0,18,30,1.0,0
1972,EGY,0.0,0.0,17.0,16,23,1.0,0
1976,EGY,0.0,0.0,17.0,7,26,1.0,0
1984,EGY,1.0,0.0,17.0,74,113,0.9469026548672567,0
1988,EGY,0.0,0.0,18.0,36,48,0.9791666666666666,0
1992,EGY,0.0,0.0,18.0,32,74,0.9594594594594594,0
1996,EGY,0.0,0.0,18.0,17,29,0.9310344827586207,0
2000,EGY,0.0,0.0,18.0,64,88,0.8295454545454546,0
2004,EGY,5.0,1.0,18.0,48,96,0.8333333333333334,0
2008,EGY,2.0,0.0,23.0,68,100,0.74,0
2012,EGY,4.0,0.0,25.0,87,109,0.6880733944954128,0
2016,EGY,3.0,0.0,29.0,87,118,0.6864406779661016,0
2020,EGY,6.0,1.0,32.0,102,140,0.6571428571428571,0
2024,EGY,3.0,1.0,38.0,97,155,0.6580645161290323,0
2000,ERI,0.0,0.0,0.0,3,3,0.6666666666666666,0
2004,ERI,1.0,0.0,0.0,3,4,0.75,0
2008,ERI,0.0,0.0,1.0,6,10,0.8,0
2012,ERI,0.0,0.0,1.0,7,12,0.9166666666666666,0
2016,ERI,0.0,0.0,1.0,6,12,0.9166666666666666,0
2020,ERI,0.0,0.0,1.0,10,13,0.6153846153846154,0
2024,ERI,0.0,0.0,1.0,9,11,0.7272727272727273,0
1932,ESA,0.0,0.0,0.0,1,1,1.0,0
1968,ESA,0.0,0.0,0.0,48,60,0.8666666666666667,0
1972,ESA,0.0,0.0,0.0,12,11,1.0,0
1984,ESA,0.0,0.0,0.0,15,10,0.9,0
