Rank,NOC,Gold,Silver,Bronze,Total,Year,Medal_Score,Medal_Share
29,BEL,0,2,0,2,1972,4,0.0033333333333333335
29,GRE,0,2,0,2,1972,4,0.0033333333333333335
31,AUT,0,1,2,3,1972,4,0.005
31,COL,0,1,2,3,1972,4,0.005
33,ARG,0,1,0,1,1972,2,0.0016666666666666668
33,LIB,0,1,0,1,1972,2,0.0016666666666666668
33,MEX,0,1,0,1,1972,2,0.0016666666666666668
33,MGL,0,1,0,1,1972,2,0.0016666666666666668
33,PAK,0,1,0,1,1972,2,0.0016666666666666668
33,KOR,0,1,0,1,1972,2,0.0016666666666666668
33,TUN,0,1,0,1,1972,2,0.0016666666666666668
33,TUR,0,1,0,1,1972,2,0.0016666666666666668
41,BRA,0,0,2,2,1972,2,0.0033333333333333335
41,ETH,0,0,2,2,1972,2,0.0033333333333333335
43,Ghana,0,0,1,1,1972,1,0.0016666666666666668
43,IND,0,0,1,1,1972,1,0.0016666666666666668
43,JAM,0,0,1,1,1972,1,0.0016666666666666668
43,NIG,0,0,1,1,1972,1,0.0016666666666666668
43,NGR,0,0,1,1,1972,1,0.0016666666666666668
43,ESP,0,0,1,1,1972,1,0.0016666666666666668
1,URS,49,41,35,125,1976,264,0.2039151712887439
2,GDR,40,25,25,90,1976,195,0.1468189233278956
3,USA,34,35,25,94,1976,197,0.1533442088091354
4,FRG,10,12,17,39,1976,71,0.0636215334420881
5,JPN,9,6,10,25,1976,49,0.040783034257748776
6,POL,7,6,13,26,1976,46,0.04241435562805873
7,BUL,6,9,7,22,1976,43,0.03588907014681892
8,CUB,6,4,3,13,1976,29,0.021207177814029365
9,ROU,4,9,14,27,1976,44,0.04404567699836868
10,HUN,4,5,13,22,1976,35,0.03588907014681892
11,FIN,4,2,0,6,1976,16,0.009787928221859706
12,SWE,4,1,0,5,1976,14,0.008156606851549755
13,GBR,3,5,5,13,1976,24,0.021207177814029365
14,ITA,2,7,4,13,1976,24,0.021207177814029365
15,FRA,2,3,4,9,1976,16,0.01468189233278956
16,YUG,2,3,3,8,1976,15,0.013050570962479609
17,TCH,2,2,4,8,1976,14,0.013050570962479609
18,NZL,2,1,1,4,1976,9,0.0065252854812398045
19,KOR,1,1,4,6,1976,9,0.009787928221859706
20,SUI,1,1,2,4,1976,7,0.0065252854812398045
21,JAM,1,1,0,2,1976,5,0.0032626427406199023
21,PRK,1,1,0,2,1976,5,0.0032626427406199023
21,NOR,1,1,0,2,1976,5,0.0032626427406199023
24,DEN,1,0,2,3,1976,5,0.004893964110929853
25,MEX,1,0,1,2,1976,4,0.0032626427406199023
26,TTO,1,0,0,1,1976,3,0.0016313213703099511
27,CAN,0,5,6,11,1976,16,0.01794453507340946
28,BEL,0,3,3,6,1976,9,0.009787928221859706
29,NED,0,2,3,5,1976,7,0.008156606851549755
30,POR,0,2,0,2,1976,4,0.0032626427406199023
30,ESP,0,2,0,2,1976,4,0.0032626427406199023
32,AUS,0,1,4,5,1976,6,0.008156606851549755
33,IRI,0,1,1,2,1976,3,0.0032626427406199023
34,MGL,0,1,0,1,1976,2,0.0016313213703099511
34,VEN,0,1,0,1,1976,2,0.0016313213703099511
36,BRA,0,0,2,2,1976,2,0.0032626427406199023
37,AUT,0,0,1,1,1976,1,0.0016313213703099511
37,BER,0,0,1,1,1976,1,0.0016313213703099511
37,PAK,0,0,1,1,1976,1,0.0016313213703099511
37,PUR,0,0,1,1,1976,1,0.0016313213703099511
37,THA,0,0,1,1,1976,1,0.0016313213703099511
1,URS,80,69,46,195,1980,424,0.3090332805071315
2,GDR,47,37,42,126,1980,257,0.19968304278922344
3,BUL,8,16,17,41,1980,73,0.06497622820919176
4,CUB,8,7,5,20,1980,43,0.03169572107765452
5,ITA,8,3,4,15,1980,34,0.02377179080824089
6,HUN,7,10,15,32,1980,56,0.05071315372424723
7,ROU,6,6,13,25,1980,43,0.039619651347068144
8,FRA,6,5,3,14,1980,31,0.022187004754358162
9,GBR,5,7,9,21,1980,38,0.03328050713153724
10,POL,3,14,15,32,1980,52,0.05071315372424723
11,SWE,3,3,6,12,1980,21,0.01901743264659271
12,FIN,3,1,4,8,1980,15,0.012678288431061807
13,TCH,2,3,9,14,1980,21,0.022187004754358162
14,YUG,2,3,4,9,1980,16,0.014263074484944533
15,AUS,2,2,5,9,1980,15,0.014263074484944533
16,DEN,2,1,2,5,1980,10,0.00792393026941363
17,BRA,2,0,2,4,1980,8,0.006339144215530904
17,ETH,2,0,2,4,1980,8,0.006339144215530904
19,SUI,2,0,0,2,1980,6,0.003169572107765452
20,ESP,1,3,2,6,1980,11,0.009508716323296355
21,AUT,1,2,1,4,1980,8,0.006339144215530904
22,GRE,1,0,2,3,1980,5,0.004754358161648178
23,BEL,1,0,0,1,1980,3,0.001584786053882726
23,IND,1,0,0,1,1980,3,0.001584786053882726
23,ZIM,1,0,0,1,1980,3,0.001584786053882726
26,PRK,0,3,2,5,1980,8,0.00792393026941363
27,MGL,0,2,2,4,1980,6,0.006339144215530904
28,TAN,0,2,0,2,1980,4,0.003169572107765452
29,MEX,0,1,3,4,1980,5,0.006339144215530904
30,NED,0,1,2,3,1980,4,0.004754358161648178
31,IRL,0,1,1,2,1980,3,0.003169572107765452
32,UGA,0,1,0,1,1980,2,0.001584786053882726
32,VEN,0,1,0,1,1980,2,0.001584786053882726
34,JAM,0,0,3,3,1980,3,0.004754358161648178
35,GUY,0,0,1,1,1980,1,0.001584786053882726
35,LIB,0,0,1,1,1980,1,0.001584786053882726
1,USA,83,61,30,174,1984,401,0.25290697674418605
2,ROU,20,16,17,53,1984,109,0.07703488372093023
3,FRG,17,19,23,59,1984,112,0.08575581395348837
4,CHN,15,8,9,32,1984,70,0.046511627906976744
5,ITA,14,6,12,32,1984,66,0.046511627906976744
6,CAN,10,18,16,44,1984,82,0.06395348837209303
7,JPN,10,8,14,32,1984,60,0.046511627906976744
8,NZL,8,1,2,11,1984,28,0.015988372093023256
9,YUG,7,4,7,18,1984,36,0.02616279069767442
10,KOR,6,6,7,19,1984,37,0.027616279069767442
11,GBR,5,11,21,37,1984,58,0.05377906976744186
12,FRA,5,7,16,28,1984,45,0.040697674418604654
13,NED,5,2,6,13,1984,25,0.0188953488372093
14,AUS,4,8,12,24,1984,40,0.03488372093023256
15,FIN,4,2,6,12,1984,22,0.01744186046511628
16,SWE,2,11,6,19,1984,34,0.027616279069767442
17,MEX,2,3,1,6,1984,13,0.00872093023255814
18,MAR,2,0,0,2,1984,6,0.0029069767441860465
19,BRA,1,5,2,8,1984,15,0.011627906976744186
20,ESP,1,2,2,5,1984,9,0.007267441860465116
21,BEL,1,1,2,4,1984,7,0.005813953488372093
22,AUT,1,1,1,3,1984,6,0.00436046511627907
23,KEN,1,0,2,3,1984,5,0.00436046511627907
23,POR,1,0,2,3,1984,5,0.00436046511627907
25,PAK,1,0,0,1,1984,3,0.0014534883720930232
26,SUI,0,4,4,8,1984,12,0.011627906976744186
27,DEN,0,3,3,6,1984,9,0.00872093023255814
28,JAM,0,1,2,3,1984,4,0.00436046511627907
28,NOR,0,1,2,3,1984,4,0.00436046511627907
30,GRE,0,1,1,2,1984,3,0.0029069767441860465
30,NGR,0,1,1,2,1984,3,0.0029069767441860465
30,PUR,0,1,1,2,1984,3,0.0029069767441860465
33,COL,0,1,0,1,1984,2,0.0014534883720930232
33,EGY,0,1,0,1,1984,2,0.0014534883720930232
33,IRL,0,1,0,1,1984,2,0.0014534883720930232
33,CIV,0,1,0,1,1984,2,0.0014534883720930232
33,PER,0,1,0,1,1984,2,0.0014534883720930232
33,SYR,0,1,0,1,1984,2,0.0014534883720930232
33,THA,0,1,0,1,1984,2,0.0014534883720930232
40,TUR,0,0,3,3,1984,3,0.00436046511627907
40,VEN,0,0,3,3,1984,3,0.00436046511627907
42,ALG,0,0,2,2,1984,2,0.0029069767441860465
43,CMR,0,0,1,1,1984,1,0.0014534883720930232
43,TPE,0,0,1,1,1984,1,0.0014534883720930232
43,DOM,0,0,1,1,1984,1,0.0014534883720930232
43,ISL,0,0,1,1,1984,1,0.0014534883720930232
43,ZAM,0,0,1,1,1984,1,0.0014534883720930232
1,URS,55,31,46,132,1988,273,0.17861975642760486
2,GDR,37,35,30,102,1988,211,0.13802435723951287
3,USA,36,31,27,94,1988,197,0.12719891745602166
4,KOR,12,10,11,33,1988,67,0.044654939106901215
5,FRG,11,14,15,40,1988,76,0.05412719891745602
6,HUN,11,6,6,23,1988,51,0.03112313937753721
7,BUL,10,12,13,35,1988,67,0.04736129905277402
8,ROU,7,11,6,24,1988,49,0.03247631935047361
9,FRA,6,4,6,16,1988,32,0.02165087956698241
10,ITA,6,4,4,14,1988,30,0.018944519621109608
11,CHN,5,11,12,28,1988,49,0.037889039242219216
12,GBR,5,10,9,24,1988,44,0.03247631935047361
13,KEN,5,2,2,9,1988,21,0.012178619756427604
14,JPN,4,3,7,14,1988,25,0.018944519621109608
15,AUS,3,6,5,14,1988,26,0.018944519621109608
16,YUG,3,4,5,12,1988,22,0.016238159675236806
17,TCH,3,3,2,8,1988,17,0.010825439783491205
18,NZL,3,2,8,13,1988,21,0.017591339648173207
19,CAN,3,2,5,10,1988,18,0.013531799729364006
20,POL,2,5,9,16,1988,25,0.02165087956698241
21,NOR,2,3,0,5,1988,12,0.006765899864682003
22,NED,2,2,5,9,1988,15,0.012178619756427604
23,DEN,2,1,1,4,1988,9,0.005412719891745603
24,BRA,1,2,3,6,1988,10,0.008119079837618403
25,FIN,1,1,2,4,1988,7,0.005412719891745603
25,ESP,1,1,2,4,1988,7,0.005412719891745603
27,TUR,1,1,0,2,1988,5,0.0027063599458728013
28,MAR,1,0,2,3,1988,5,0.0040595399188092015
29,AUT,1,0,0,1,1988,3,0.0013531799729364006
29,POR,1,0,0,1,1988,3,0.0013531799729364006
29,SUR,1,0,0,1,1988,3,0.0013531799729364006
32,SWE,0,4,7,11,1988,15,0.014884979702300407
33,SUI,0,2,2,4,1988,6,0.005412719891745603
34,JAM,0,2,0,2,1988,4,0.0027063599458728013
35,ARG,0,1,1,2,1988,3,0.0027063599458728013
36,CHI,0,1,0,1,1988,2,0.0013531799729364006
36,CRC,0,1,0,1,1988,2,0.0013531799729364006
36,INA,0,1,0,1,1988,2,0.0013531799729364006
36,IRI,0,1,0,1,1988,2,0.0013531799729364006
36,AHO,0,1,0,1,1988,2,0.0013531799729364006
36,PER,0,1,0,1,1988,2,0.0013531799729364006
36,SEN,0,1,0,1,1988,2,0.0013531799729364006
36,ISV,0,1,0,1,1988,2,0.0013531799729364006
44,BEL,0,0,2,2,1988,2,0.0027063599458728013
44,MEX,0,0,2,2,1988,2,0.0027063599458728013
46,COL,0,0,1,1,1988,1,0.0013531799729364006
46,DJI,0,0,1,1,1988,1,0.0013531799729364006
46,GRE,0,0,1,1,1988,1,0.0013531799729364006
46,MGL,0,0,1,1,1988,1,0.0013531799729364006
46,PAK,0,0,1,1,1988,1,0.0013531799729364006
46,PHI,0,0,1,1,1988,1,0.0013531799729364006
46,THA,0,0,1,1,1988,1,0.0013531799729364006
1,EUN,45,38,29,112,1992,240,0.1374233128834356
2,USA,37,34,37,108,1992,216,0.1325153374233129
3,GER,33,21,28,82,1992,169,0.10061349693251534
4,CHN,16,22,16,54,1992,108,0.06625766871165645
5,CUB,14,6,11,31,1992,65,0.03803680981595092
6,ESP,13,7,2,22,1992,55,0.026993865030674847
7,KOR,12,5,12,29,1992,58,0.03558282208588957
8,HUN,11,12,7,30,1992,64,0.03680981595092025
9,FRA,8,5,16,29,1992,50,0.03558282208588957
10,AUS,7,9,11,27,1992,50,0.033128834355828224
11,CAN,7,4,7,18,1992,36,0.022085889570552148
12,ITA,6,5,8,19,1992,36,0.023312883435582823
13,GBR,5,3,12,20,1992,33,0.024539877300613498
14,ROU,4,6,8,18,1992,32,0.022085889570552148
15,TCH,4,2,1,7,1992,17,0.008588957055214725
16,PRK,4,0,5,9,1992,17,0.011042944785276074
17,JPN,3,8,11,22,1992,36,0.026993865030674847
18,BUL,3,7,6,16,1992,29,0.0196319018404908
19,POL,3,6,10,19,1992,31,0.023312883435582823
20,NED,2,6,7,15,1992,25,0.018404907975460124
21,KEN,2,4,2,8,1992,16,0.0098159509202454
22,NOR,2,4,1,7,1992,15,0.008588957055214725
23,TUR,2,2,2,6,1992,12,0.007361963190184049
24,INA,2,2,1,5,1992,11,0.006134969325153374
25,BRA,2,1,0,3,1992,8,0.0036809815950920245
26,GRE,2,0,0,2,1992,6,0.00245398773006135
27,SWE,1,7,4,12,1992,21,0.014723926380368098
28,NZL,1,4,5,10,1992,16,0.012269938650306749
29,FIN,1,2,2,5,1992,9,0.006134969325153374
30,DEN,1,1,4,6,1992,9,0.007361963190184049
31,MAR,1,1,1,3,1992,6,0.0036809815950920245
32,IRL,1,1,0,2,1992,5,0.00245398773006135
33,ETH,1,0,2,3,1992,5,0.0036809815950920245
34,ALG,1,0,1,2,1992,4,0.00245398773006135
34,EST,1,0,1,2,1992,4,0.00245398773006135
34,LTU,1,0,1,2,1992,4,0.00245398773006135
37,SUI,1,0,0,1,1992,3,0.001226993865030675
38,JAM,0,3,1,4,1992,7,0.0049079754601227
38,NGR,0,3,1,4,1992,7,0.0049079754601227
40,LAT,0,2,1,3,1992,5,0.0036809815950920245
41,AUT,0,2,0,2,1992,4,0.00245398773006135
41,NAM,0,2,0,2,1992,4,0.00245398773006135
41,RSA,0,2,0,2,1992,4,0.00245398773006135
44,BEL,0,1,2,3,1992,4,0.0036809815950920245
44,CRO,0,1,2,3,1992,4,0.0036809815950920245
44,IOP,0,1,2,3,1992,4,0.0036809815950920245
44,IRI,0,1,2,3,1992,4,0.0036809815950920245
48,ISR,0,1,1,2,1992,3,0.00245398773006135
49,TPE,0,1,0,1,1992,2,0.001226993865030675
49,MEX,0,1,0,1,1992,2,0.001226993865030675
49,PER,0,1,0,1,1992,2,0.001226993865030675
52,MGL,0,0,2,2,1992,2,0.00245398773006135
52,SLO,0,0,2,2,1992,2,0.00245398773006135
54,ARG,0,0,1,1,1992,1,0.001226993865030675
54,BAH,0,0,1,1,1992,1,0.001226993865030675
54,COL,0,0,1,1,1992,1,0.001226993865030675
54,Ghana,0,0,1,1,1992,1,0.001226993865030675
54,MAS,0,0,1,1,1992,1,0.001226993865030675
54,PAK,0,0,1,1,1992,1,0.001226993865030675
54,PHI,0,0,1,1,1992,1,0.001226993865030675
54,PUR,0,0,1,1,1992,1,0.001226993865030675
54,QAT,0,0,1,1,1992,1,0.001226993865030675
54,SUR,0,0,1,1,1992,1,0.001226993865030675
54,THA,0,0,1,1,1992,1,0.001226993865030675
1,USA,44,32,25,101,1996,221,0.11995249406175772
2,RUS,26,21,16,63,1996,136,0.07482185273159145
3,GER,20,18,27,65,1996,123,0.07719714964370546
4,CHN,16,22,12,50,1996,104,0.05938242280285035
5,FRA,15,7,15,37,1996,74,0.043942992874109264
6,ITA,13,10,12,35,1996,71,0.04156769596199525
7,AUS,9,9,23,41,1996,68,0.048693586698337295
8,CUB,9,8,8,25,1996,51,0.029691211401425176
9,UKR,9,2,12,23,1996,43,0.027315914489311165
10,KOR,7,15,5,27,1996,56,0.032066508313539195
11,POL,7,5,5,17,1996,36,0.020190023752969122
12,HUN,7,4,10,21,1996,39,0.02494061757719715
13,ESP,5,6,6,17,1996,33,0.020190023752969122
14,ROU,4,7,9,20,1996,35,0.023752969121140142
15,NED,4,5,10,19,1996,32,0.022565320665083134
16,GRE,4,4,0,8,1996,20,0.009501187648456057
17,CZE,4,3,4,11,1996,22,0.013064133016627079
18,SUI,4,3,0,7,1996,18,0.00831353919239905
19,DEN,4,1,1,6,1996,15,0.007125890736342043
19,TUR,4,1,1,6,1996,15,0.007125890736342043
21,CAN,3,11,8,22,1996,39,0.026128266033254157
22,BUL,3,7,5,15,1996,28,0.017814726840855107
23,JPN,3,6,5,14,1996,26,0.0166270783847981
24,KAZ,3,4,4,11,1996,21,0.013064133016627079
25,BRA,3,3,9,15,1996,24,0.017814726840855107
26,NZL,3,2,1,6,1996,14,0.007125890736342043
27,RSA,3,1,1,5,1996,12,0.0059382422802850355
28,IRL,3,0,1,4,1996,10,0.004750593824228029
29,SWE,2,4,2,8,1996,16,0.009501187648456057
30,NOR,2,2,3,7,1996,13,0.00831353919239905
31,BEL,2,2,2,6,1996,12,0.007125890736342043
32,NGR,2,1,3,6,1996,11,0.007125890736342043
33,PRK,2,1,2,5,1996,10,0.0059382422802850355
34,ALG,2,0,1,3,1996,7,0.0035629453681710215
34,ETH,2,0,1,3,1996,7,0.0035629453681710215
36,GBR,1,8,6,15,1996,25,0.017814726840855107
37,BLR,1,6,8,15,1996,23,0.017814726840855107
38,KEN,1,4,3,8,1996,14,0.009501187648456057
39,JAM,1,3,2,6,1996,11,0.007125890736342043
40,FIN,1,2,1,4,1996,8,0.004750593824228029
41,FRY,1,1,2,4,1996,7,0.004750593824228029
41,INA,1,1,2,4,1996,7,0.004750593824228029
43,IRI,1,1,1,3,1996,6,0.0035629453681710215
43,SVK,1,1,1,3,1996,6,0.0035629453681710215
45,ARM,1,1,0,2,1996,5,0.0023752969121140144
45,CRO,1,1,0,2,1996,5,0.0023752969121140144
47,POR,1,0,1,2,1996,4,0.0023752969121140144
47,THA,1,0,1,2,1996,4,0.0023752969121140144
49,BDI,1,0,0,1,1996,3,0.0011876484560570072
49,CRC,1,0,0,1,1996,3,0.0011876484560570072
49,ECU,1,0,0,1,1996,3,0.0011876484560570072
49,HKG,1,0,0,1,1996,3,0.0011876484560570072
49,SYR,1,0,0,1,1996,3,0.0011876484560570072
54,ARG,0,2,1,3,1996,5,0.0035629453681710215
55,NAM,0,2,0,2,1996,4,0.0023752969121140144
55,SLO,0,2,0,2,1996,4,0.0023752969121140144
57,AUT,0,1,2,3,1996,4,0.0035629453681710215
58,MAS,0,1,1,2,1996,3,0.0023752969121140144
58,MDA,0,1,1,2,1996,3,0.0023752969121140144
58,UZB,0,1,1,2,1996,3,0.0023752969121140144
61,AZE,0,1,0,1,1996,2,0.0011876484560570072
61,BAH,0,1,0,1,1996,2,0.0011876484560570072
61,TPE,0,1,0,1,1996,2,0.0011876484560570072
61,LAT,0,1,0,1,1996,2,0.0011876484560570072
61,PHI,0,1,0,1,1996,2,0.0011876484560570072
61,TGA,0,1,0,1,1996,2,0.0011876484560570072
61,ZAM,0,1,0,1,1996,2,0.0011876484560570072
68,GEO,0,0,2,2,1996,2,0.0023752969121140144
68,MAR,0,0,2,2,1996,2,0.0023752969121140144
68,TTO,0,0,2,2,1996,2,0.0023752969121140144
71,IND,0,0,1,1,1996,1,0.0011876484560570072
71,ISR,0,0,1,1,1996,1,0.0011876484560570072
71,LTU,0,0,1,1,1996,1,0.0011876484560570072
71,MEX,0,0,1,1,1996,1,0.0011876484560570072
71,MGL,0,0,1,1,1996,1,0.0011876484560570072
71,MOZ,0,0,1,1,1996,1,0.0011876484560570072
71,PUR,0,0,1,1,1996,1,0.0011876484560570072
71,TUN,0,0,1,1,1996,1,0.0011876484560570072
71,UGA,0,0,1,1,1996,1,0.0011876484560570072
1,USA,37,24,32,93,2000,191,0.10032362459546926
2,RUS,32,28,29,89,2000,181,0.09600862998921252
3,CHN,28,16,14,58,2000,130,0.06256742179072276
4,AUS,16,25,17,58,2000,115,0.06256742179072276
5,GER,13,17,26,56,2000,99,0.06040992448759439
6,FRA,13,14,11,38,2000,78,0.040992448759439054
7,ITA,13,8,13,34,2000,68,0.036677454153182305
8,NED,12,9,4,25,2000,58,0.02696871628910464
9,CUB,11,11,7,29,2000,62,0.03128371089536138
10,GBR,11,10,7,28,2000,60,0.030204962243797196
11,ROU,11,6,9,26,2000,54,0.028047464940668825
12,KOR,8,10,10,28,2000,54,0.030204962243797196
13,HUN,8,6,3,17,2000,39,0.018338727076591153
14,POL,6,5,3,14,2000,31,0.015102481121898598
15,JPN,5,8,5,18,2000,36,0.019417475728155338
16,BUL,5,6,2,13,2000,29,0.014023732470334413
17,GRE,4,6,3,13,2000,27,0.014023732470334413
18,SWE,4,5,3,12,2000,25,0.012944983818770227
19,NOR,4,3,3,10,2000,21,0.010787486515641856
20,ETH,4,1,3,8,2000,17,0.008629989212513484
21,UKR,3,10,10,23,2000,39,0.02481121898597627
22,KAZ,3,4,0,7,2000,17,0.007551240560949299
23,BLR,3,3,11,17,2000,26,0.018338727076591153
24,CAN,3,3,8,14,2000,23,0.015102481121898598
25,ESP,3,3,5,11,2000,20,0.011866235167206042
26,TUR,3,0,2,5,2000,11,0.005393743257820928
27,IRI,3,0,1,4,2000,10,0.004314994606256742
28,CZE,2,3,3,8,2000,15,0.008629989212513484
29,KEN,2,3,2,7,2000,14,0.007551240560949299
30,DEN,2,3,1,6,2000,13,0.006472491909385114
31,FIN,2,1,1,4,2000,9,0.004314994606256742
32,AUT,2,1,0,3,2000,8,0.003236245954692557
33,LTU,2,0,3,5,2000,9,0.005393743257820928
34,AZE,2,0,1,3,2000,7,0.003236245954692557
34,BAH,2,0,1,3,2000,7,0.003236245954692557
36,SLO,2,0,0,2,2000,6,0.002157497303128371
37,SUI,1,6,2,9,2000,17,0.009708737864077669
38,INA,1,3,2,6,2000,11,0.006472491909385114
39,SVK,1,3,1,5,2000,10,0.005393743257820928
40,MEX,1,2,3,6,2000,10,0.006472491909385114
41,NGR,1,2,0,3,2000,7,0.003236245954692557
42,ALG,1,1,3,5,2000,8,0.005393743257820928
43,UZB,1,1,2,4,2000,7,0.004314994606256742
44,FRY,1,1,1,3,2000,6,0.003236245954692557
44,LAT,1,1,1,3,2000,6,0.003236245954692557
46,NZL,1,0,3,4,2000,6,0.004314994606256742
47,EST,1,0,2,3,2000,5,0.003236245954692557
47,THA,1,0,2,3,2000,5,0.003236245954692557
49,CRO,1,0,1,2,2000,4,0.002157497303128371
50,CMR,1,0,0,1,2000,3,0.0010787486515641855
50,COL,1,0,0,1,2000,3,0.0010787486515641855
50,MOZ,1,0,0,1,2000,3,0.0010787486515641855
53,BRA,0,6,6,12,2000,18,0.012944983818770227
54,JAM,0,6,3,9,2000,15,0.009708737864077669
55,BEL,0,2,3,5,2000,7,0.005393743257820928
55,RSA,0,2,3,5,2000,7,0.005393743257820928
57,ARG,0,2,2,4,2000,6,0.004314994606256742
58,TPE,0,1,4,5,2000,6,0.005393743257820928
58,MAR,0,1,4,5,2000,6,0.005393743257820928
60,PRK,0,1,3,4,2000,5,0.004314994606256742
61,MDA,0,1,1,2,2000,3,0.002157497303128371
61,KSA,0,1,1,2,2000,3,0.002157497303128371
61,TTO,0,1,1,2,2000,3,0.002157497303128371
64,IRL,0,1,0,1,2000,2,0.0010787486515641855
64,SRI,0,1,0,1,2000,2,0.0010787486515641855
64,URU,0,1,0,1,2000,2,0.0010787486515641855
64,VIE,0,1,0,1,2000,2,0.0010787486515641855
68,GEO,0,0,6,6,2000,6,0.006472491909385114
69,CRC,0,0,2,2,2000,2,0.002157497303128371
69,POR,0,0,2,2,2000,2,0.002157497303128371
71,ARM,0,0,1,1,2000,1,0.0010787486515641855
71,BAR,0,0,1,1,2000,1,0.0010787486515641855
71,CHI,0,0,1,1,2000,1,0.0010787486515641855
71,ISL,0,0,1,1,2000,1,0.0010787486515641855
71,IND,0,0,1,1,2000,1,0.0010787486515641855
71,ISR,0,0,1,1,2000,1,0.0010787486515641855
71,KUW,0,0,1,1,2000,1,0.0010787486515641855
71,KGZ,0,0,1,1,2000,1,0.0010787486515641855
71,MKD,0,0,1,1,2000,1,0.0010787486515641855
71,QAT,0,0,1,1,2000,1,0.0010787486515641855
1,USA,36,39,26,101,2004,212,0.10907127429805616
2,CHN,32,17,14,63,2004,144,0.06803455723542116
3,RUS,28,26,36,90,2004,172,0.09719222462203024
4,AUS,17,16,17,50,2004,100,0.05399568034557235
5,JPN,16,9,12,37,2004,78,0.03995680345572354
6,GER,13,16,20,49,2004,91,0.052915766738660906
7,FRA,11,9,13,33,2004,64,0.035637149028077755
8,ITA,10,11,11,32,2004,63,0.03455723542116631
9,KOR,9,12,9,30,2004,60,0.032397408207343416
10,GBR,9,9,12,30,2004,57,0.032397408207343416
11,CUB,9,7,11,27,2004,52,0.029157667386609073
12,HUN,8,6,3,17,2004,39,0.0183585313174946
13,UKR,8,5,9,22,2004,43,0.023758099352051837
14,ROU,8,5,6,19,2004,40,0.020518358531317494
15,GRE,6,6,4,16,2004,34,0.017278617710583154
16,BRA,5,2,3,10,2004,22,0.01079913606911447
17,NOR,5,0,1,6,2004,16,0.0064794816414686825
18,NED,4,9,9,22,2004,39,0.023758099352051837
19,SWE,4,2,1,7,2004,17,0.00755939524838013
20,ESP,3,11,6,20,2004,37,0.02159827213822894
21,CAN,3,6,3,12,2004,24,0.012958963282937365
22,TUR,3,3,4,10,2004,19,0.01079913606911447
23,POL,3,2,5,10,2004,18,0.01079913606911447
24,NZL,3,2,0,5,2004,13,0.005399568034557235
25,THA,3,1,4,8,2004,15,0.008639308855291577
26,BLR,2,5,6,13,2004,22,0.014038876889848811
27,AUT,2,4,1,7,2004,15,0.00755939524838013
28,ETH,2,3,2,7,2004,14,0.00755939524838013
29,IRI,2,2,2,6,2004,12,0.0064794816414686825
29,SVK,2,2,2,6,2004,12,0.0064794816414686825
31,TPE,2,2,1,5,2004,11,0.005399568034557235
32,GEO,2,2,0,4,2004,10,0.004319654427645789
33,BUL,2,1,9,12,2004,17,0.012958963282937365
34,DEN,2,1,5,8,2004,13,0.008639308855291577
35,JAM,2,1,2,5,2004,10,0.005399568034557235
35,UZB,2,1,2,5,2004,10,0.005399568034557235
37,MAR,2,1,0,3,2004,8,0.0032397408207343412
38,ARG,2,0,4,6,2004,10,0.0064794816414686825
39,CHI,2,0,1,3,2004,7,0.0032397408207343412
40,KAZ,1,4,3,8,2004,14,0.008639308855291577
41,KEN,1,4,2,7,2004,13,0.00755939524838013
42,CZE,1,3,5,9,2004,14,0.009719222462203024
43,RSA,1,3,2,6,2004,11,0.0064794816414686825
44,CRO,1,2,2,5,2004,9,0.005399568034557235
45,LTU,1,2,0,3,2004,7,0.0032397408207343412
46,EGY,1,1,3,5,2004,8,0.005399568034557235
46,SUI,1,1,3,5,2004,8,0.005399568034557235
48,INA,1,1,2,4,2004,7,0.004319654427645789
49,ZIM,1,1,1,3,2004,6,0.0032397408207343412
50,AZE,1,0,4,5,2004,7,0.005399568034557235
51,BEL,1,0,2,3,2004,5,0.0032397408207343412
52,BAH,1,0,1,2,2004,4,0.0021598272138228943
52,ISR,1,0,1,2,2004,4,0.0021598272138228943
54,CMR,1,0,0,1,2004,3,0.0010799136069114472
54,DOM,1,0,0,1,2004,3,0.0010799136069114472
54,UAE,1,0,0,1,2004,3,0.0010799136069114472
57,PRK,0,4,1,5,2004,9,0.005399568034557235
58,LAT,0,4,0,4,2004,8,0.004319654427645789
59,MEX,0,3,1,4,2004,7,0.004319654427645789
60,POR,0,2,1,3,2004,5,0.0032397408207343412
61,FIN,0,2,0,2,2004,4,0.0021598272138228943
61,SCG,0,2,0,2,2004,4,0.0021598272138228943
63,SLO,0,1,3,4,2004,5,0.004319654427645789
64,EST,0,1,2,3,2004,4,0.0032397408207343412
65,HKG,0,1,0,1,2004,2,0.0010799136069114472
65,IND,0,1,0,1,2004,2,0.0010799136069114472
65,PAR,0,1,0,1,2004,2,0.0010799136069114472
68,COL,0,0,2,2,2004,2,0.0021598272138228943
68,NGR,0,0,2,2,2004,2,0.0021598272138228943
68,VEN,0,0,2,2,2004,2,0.0021598272138228943
71,ERI,0,0,1,1,2004,1,0.0010799136069114472
71,MGL,0,0,1,1,2004,1,0.0010799136069114472
71,SYR,0,0,1,1,2004,1,0.0010799136069114472
71,TTO,0,0,1,1,2004,1,0.0010799136069114472
1,CHN,48,22,30,100,2008,218,0.10438413361169102
